,pitch_class,duration,tpc,other_stuff_will_not_be_read
0,,0.25,,bla
1,,0.25,,
2,,0.25,,
3,,0.25,,
4,,0.125,,
5,5,0.125,F,
6,5,0.125,F,
7,10,0.125,Bb,
8,9,0.125,A,
9,3,0.125,Eb,
10,2,0.0625,D,
11,5,0.0625,F,
12,2,0.0625,D,
13,10,0.0625,Bb,
14,5,0.125,F,
15,2,0.125,D,
16,0,0.1875,C,
17,9,0.0625,A,
18,10,0.125,Bb,
19,,0.125,,
20,,0.25,,
21,,0.125,,
22,5,0.125,F,
23,5,0.125,F,blabla
24,10,0.125,Bb,
25,9,0.125,A,
26,3,0.125,Eb,
27,2,0.0625,D,
28,5,0.0625,F,
29,2,0.0625,D,
30,10,0.0625,Bb,
31,5,0.125,F,
32,2,0.125,D,
33,0,0.1875,C,
34,9,0.0625,A,
35,10,0.125,Bb,
36,,0.125,,
37,,0.25,,
38,,0.125,,
39,10,0.0625,Bb,
40,0,0.0625,C,
41,2,0.125,D,
42,0,0.125,C,
43,10,0.125,Bb,
44,9,0.125,A,
45,10,0.0625,Bb,
46,0,0.0625,C,
47,10,0.0625,Bb,
48,9,0.0625,A,
49,7,0.125,G,
50,9,0.0625,A,blablalba
51,10,0.0625,Bb,
52,0,0.125,C,
53,10,0.125,Bb,
54,9,0.125,A,
55,7,0.125,G,
56,9,0.0625,A,
57,10,0.0625,Bb,
58,9,0.0625,A,
59,7,0.0625,G,
60,5,0.125,F,
61,5,0.125,F,
62,3,0.25,Eb,
63,2,0.125,D,
64,3,0.0625,Eb,
65,2,0.0625,D,
66,0,0.25,C,
67,10,0.125,Bb,
68,5,0.125,F,
69,3,0.25,Eb,
70,2,0.125,D,
71,3,0.0625,Eb,
72,2,0.0625,D,
73,0,0.25,C,
74,10,0.125,Bb,
75,,0.125,,
76,2,0.0625,D,
77,5,0.0625,F,
78,10,0.0625,Bb,
79,5,0.0625,F,
80,2,0.0625,D,
81,5,0.0625,F,
82,10,0.0625,Bb,
83,2,0.0625,D,
84,5,0.0625,F,
85,10,0.125,Bb,
86,10,0.125,Bb,
87,10,0.125,Bb,
88,10,0.125,Bb,
89,3,0.0625,Eb,
90,5,0.0625,F,
91,9,0.0625,A,
92,5,0.0625,F,
93,5,0.0625,F,
94,10,0.0625,Bb,
95,2,0.0625,D,
96,5,0.0625,F,
97,2,0.0625,D,
98,5,0.0625,F,
99,5,0.125,F,
100,5,0.125,F,
101,10,0.125,Bb,
102,10,0.125,Bb,
103,2,0.0625,D,
104,5,0.0625,F,
105,10,0.0625,Bb,
106,5,0.0625,F,
107,2,0.0625,D,
108,5,0.0625,F,
109,10,0.0625,Bb,
110,2,0.0625,D,
111,5,0.0625,F,
112,10,0.125,Bb,
113,10,0.125,Bb,
114,10,0.125,Bb,
115,10,0.125,Bb,
116,3,0.0625,Eb,
117,5,0.0625,F,
118,9,0.0625,A,
119,5,0.0625,F,
120,5,0.0625,F,
121,2,0.125,D,
122,10,0.125,Bb,
123,,0.125,,
124,5,0.125,F,
125,5,0.125,F,
126,10,0.125,Bb,
127,,0.125,,
128,2,0.0625,D,
129,5,0.0625,F,
130,10,0.0625,Bb,
131,5,0.0625,F,
132,0,0.0625,C,
133,5,0.0625,F,
134,9,0.0625,A,
135,5,0.0625,F,
136,10,0.125,Bb,
137,10,0.125,Bb,
138,10,0.125,Bb,
139,10,0.125,Bb,
140,2,0.0625,D,
141,5,0.0625,F,
142,10,0.0625,Bb,
143,5,0.0625,F,
144,2,0.0625,D,
145,5,0.0625,F,
146,10,0.0625,Bb,
147,5,0.0625,F,
148,10,0.125,Bb,
149,10,0.125,Bb,
150,10,0.125,Bb,
151,10,0.125,Bb,
152,3,0.0625,Eb,
153,5,0.0625,F,
154,9,0.0625,A,
